ban,tipo_cliente,canal_contato,tentativas_contato,texto,urgencia,valor_mensalidade,dias_atraso,valor_total_divida,historico_pagamento,estado,data_chamado
000006110,Pessoa Física,Redes Sociais,2,consulta de valores. muito obrigado,Baixa,157.26,8,361.52,regular,PE,2024-11-06T19:58:51.170610
000006481,Pessoa Física,Email,3,consulta de valores. muito obrigado,Baixa,93.84,10,413.04,bom,MG,2025-08-08T01:07:13.980314
000009422,Pessoa Jurídica,Redes Sociais,2,proposta de pagamento.,Média,183.35,13,366.48,ruim,SP,2025-05-11T00:18:20.988173
000003334,Pessoa Física,Email,1,preciso de um desconto. aguardo uma resposta,Média,58.42,31,286.49,ruim,PE,2025-07-24T07:16:51.837856
000000975,Pessoa Física,Chat,3,consulta de valores.,Baixa,104.98,15,310.45,bom,SP,2025-06-26T00:50:31.343505
000001984,Pessoa Física,Chat,2,como posso pagar.,Baixa,136.15,14,646.61,bom,MG,2025-04-16T08:38:06.317820
000003840,Pessoa Jurídica,Chat,2,dúvida sobre a fatura.,Baixa,125.25,9,340.09,bom,PE,2025-09-22T22:17:15.261335
000001803,Pessoa Física,Email,3,dúvida sobre a fatura.,Baixa,139.07,17,319.19,bom,RJ,2025-02-17T18:19:47.408489
000007069,Pessoa Jurídica,Redes Sociais,1,como posso pagar,Baixa,125.14,7,306.55,regular,RS,2025-04-22T03:14:38.462363
000006206,Pessoa Jurídica,Telefone,1,consulta de valores. por favor,Baixa,145.93,7,662.11,bom,SC,2025-08-01T10:33:02.027000
000008956,Pessoa Física,Email,1,ajuda temporária.,Média,110.24,29,256.06,ruim,SP,2025-05-16T09:59:02.536144
000005078,Pessoa Física,Email,3,preciso de informação.,Baixa,107.98,10,397.08,bom,CE,2025-08-13T05:42:15.162486
000006574,Pessoa Jurídica,Telefone,4,preciso de informação.,Baixa,87.0,3,250.51,bom,RS,2025-05-01T09:07:07.226901
000003570,Pessoa Física,Chat,2,dúvida sobre a fatura.,Baixa,206.95,10,986.47,regular,SP,2025-06-16T20:17:45.428470
000008630,Pessoa Física,Físico,3,preciso de informação.,Baixa,116.86,21,191.35,regular,SC,2024-10-19T05:52:25.977384
000003935,Pessoa Jurídica,Email,3,renegociar valores. por favor,Média,137.42,34,373.04,ruim,MG,2024-12-24T17:53:23.719591
000001841,Pessoa Física,Telefone,1,proposta de pagamento.,Média,111.55,65,167.16,regular,RJ,2025-01-16T04:53:37.568969
000009132,Pessoa Física,Redes Sociais,2,dúvida sobre a fatura,Baixa,183.68,28,608.45,bom,MG,2024-10-31T15:37:32.350697
000009889,Pessoa Física,Telefone,3,renegociar valores.,Média,119.55,12,312.22,ruim,RS,2024-12-26T12:46:38.544101
000000200,Pessoa Física,Telefone,2,como posso pagar.,Baixa,133.1,8,165.54,bom,PE,2024-11-08T09:32:33.443506
000006956,Pessoa Física,Telefone,3,proposta de pagamento.,Média,85.11,4,374.43,ruim,SP,2025-01-12T00:50:17.608314
000002846,Pessoa Física,Chat,1,como posso pagar.,Baixa,190.42,21,476.44,bom,DF,2025-05-22T16:26:44.186958
000007860,Pessoa Física,Email,4,como posso pagar. muito obrigado,Baixa,128.68,15,382.76,bom,MG,2025-02-12T18:13:10.756064
000002103,Pessoa Física,Telefone,3,consulta de valores. por favor,Baixa,191.87,24,504.63,regular,RJ,2025-02-14T17:06:21.051532
000004773,Pessoa Física,Telefone,4,como posso pagar.,Baixa,95.97,7,283.55,bom,RJ,2024-12-18T00:40:36.060200
000003427,Pessoa Física,Telefone,4,dúvida sobre a fatura. aguardo uma resposta,Baixa,102.32,9,109.0,bom,SP,2025-01-08T00:27:06.648259
000002119,Pessoa Jurídica,Telefone,1,preciso de informação. muito obrigado,Baixa,98.91,8,421.54,regular,TO,2025-09-09T14:40:39.547632
000009808,Pessoa Física,Redes Sociais,4,parcelamento da dívida.,Média,108.65,33,253.07,bom,PA,2025-05-27T04:42:39.570885
000004823,Pessoa Física,Chat,4,preciso de informação.,Baixa,146.82,5,572.28,bom,MA,2025-05-12T23:41:04.335248
000004763,Pessoa Física,Chat,2,preciso de informação.,Baixa,38.07,20,47.95,bom,BA,2024-12-04T00:20:55.140584
000004164,Pessoa Física,Telefone,2,ajuda temporária. aguardo uma resposta,Média,118.07,3,365.46,ruim,BA,2025-06-25T19:32:19.873445
000003112,Pessoa Física,Telefone,4,dúvida sobre a fatura. muito obrigado,Baixa,88.77,17,411.46,bom,AC,2024-12-01T04:32:07.357387
000003377,Pessoa Jurídica,Email,3,segunda via do boleto.,Baixa,84.48,3,219.06,regular,RJ,2025-02-18T02:24:13.199309
000004426,Pessoa Física,Redes Sociais,2,como posso pagar.,Baixa,138.73,5,248.19,bom,MG,2025-09-28T22:06:45.141875
000000439,Pessoa Física,Telefone,4,como posso pagar.,Baixa,132.0,4,184.31,bom,RJ,2025-05-24T06:16:21.461779
000004556,Pessoa Física,Chat,3,preciso de informação.,Baixa,154.52,10,685.51,bom,MG,2025-04-23T22:16:34.029564
000002584,Pessoa Física,Telefone,4,consulta de valores.,Baixa,135.5,10,264.93,regular,PA,2025-06-09T13:21:09.180325
000007715,Pessoa Física,Chat,1,quero negociar. muito obrigado,Média,127.19,36,623.27,bom,MG,2025-08-06T08:25:33.532523
000005114,Pessoa Jurídica,Telefone,4,preciso de informação.,Baixa,97.66,6,194.47,bom,PB,2025-07-12T22:25:02.344688
000002896,Pessoa Jurídica,Chat,3,preciso de informação.,Baixa,82.92,3,242.46,bom,SP,2024-12-25T03:58:07.538280
000007474,Pessoa Física,Telefone,4,preciso de um desconto. muito obrigado,Média,143.96,20,407.69,ruim,MG,2024-10-14T05:34:16.922415
000000273,Pessoa Física,Email,1,proposta de pagamento.,Média,109.77,24,137.0,ruim,PB,2025-01-25T17:22:26.557996
000000672,Pessoa Jurídica,Telefone,3,segunda via do boleto.,Baixa,135.97,8,425.23,bom,CE,2025-01-08T07:08:26.139574
000007622,Pessoa Física,Telefone,4,preciso de informação. o mais rápido possível,Baixa,119.82,20,442.2,bom,MA,2024-12-18T13:36:47.895583
000008777,Pessoa Física,Telefone,1,proposta de pagamento.,Média,38.26,31,151.84,regular,MG,2025-09-11T21:30:30.927107
000007053,Pessoa Jurídica,Telefone,3,proposta de pagamento.,Média,139.34,10,430.61,ruim,MG,2025-08-18T14:12:59.827545
000002150,Pessoa Física,Email,4,dúvida sobre a fatura.,Baixa,94.96,16,403.61,bom,RN,2025-01-25T10:34:44.809397
000001363,Pessoa Física,Telefone,2,como posso pagar.,Baixa,154.57,5,619.58,regular,GO,2025-05-29T21:36:22.924903
000000836,Pessoa Física,Redes Sociais,4,parcelamento da dívida,Média,45.65,2,81.07,ruim,BA,2025-02-24T00:12:09.454950
000007328,Pessoa Física,Redes Sociais,4,perdi meu emprego,Alta,195.96,79,510.75,bom,RJ,2025-09-01T12:53:34.848879
000002570,Pessoa Física,Email,2,consulta de valores. o mais rápido possível,Baixa,96.16,8,151.0,bom,SP,2025-03-19T02:22:24.775212
000008767,Pessoa Física,Redes Sociais,1,dúvida sobre a fatura,Baixa,138.85,8,212.95,bom,PB,2025-01-07T06:03:51.485815
000001365,Pessoa Física,Email,4,renegociar valores. o mais rápido possível,Média,91.5,72,352.14,ruim,PA,2024-12-31T14:03:57.150637
000004581,Pessoa Física,Chat,4,preciso de informação.,Baixa,96.93,27,302.6,regular,PE,2025-04-25T13:00:24.008599
000002600,Pessoa Jurídica,Chat,3,como posso pagar.,Baixa,147.41,19,501.75,bom,MA,2025-01-06T11:19:05.576374
000009474,Pessoa Jurídica,Telefone,3,segunda via do boleto. por favor,Baixa,111.92,25,439.7,bom,MT,2025-05-04T00:31:43.762783
000001633,Pessoa Física,Chat,4,como posso pagar.,Baixa,114.7,26,241.9,regular,GO,2025-08-26T10:17:17.712602
000005159,Pessoa Física,Telefone,1,segunda via do boleto. por favor,Baixa,153.98,30,401.19,bom,BA,2025-02-25T09:14:14.298982
000000966,Pessoa Física,Email,2,como posso pagar. por favor,Baixa,127.56,3,437.18,bom,SP,2024-12-21T14:42:05.296046
000002073,Pessoa Física,Email,1,segunda via do boleto.,Baixa,137.93,12,191.24,regular,SC,2025-10-01T20:21:48.898238
000004098,Pessoa Jurídica,Telefone,4,consulta de valores. por favor,Baixa,95.01,8,411.6,bom,RJ,2025-04-06T14:34:24.734607
000000041,Pessoa Física,Chat,1,segunda via do boleto,Baixa,146.66,3,348.14,bom,MA,2024-11-04T17:04:42.319884
000008098,Pessoa Física,Chat,3,dúvida sobre a fatura.,Baixa,124.46,12,452.41,regular,MG,2024-10-19T17:11:57.020555
000004402,Pessoa Física,Chat,1,segunda via do boleto,Baixa,137.22,20,683.67,regular,SP,2024-11-11T13:20:46.659105
000005438,Premium,Telefone,1,dúvida sobre a fatura. o mais rápido possível,Baixa,134.55,5,390.39,regular,RJ,2025-05-19T16:13:47.092269
000007823,Pessoa Física,Telefone,1,quero negociar. aguardo uma resposta,Média,165.18,9,307.27,ruim,RJ,2025-07-18T19:21:57.392250
000004286,Pessoa Jurídica,Chat,3,consulta de valores,Baixa,140.19,21,261.56,bom,BA,2025-03-05T16:44:28.622066
000003141,Premium,Chat,1,preciso de informação.,Baixa,73.6,18,91.37,bom,RJ,2024-10-25T17:03:25.051723
000008369,Pessoa Física,Telefone,4,quero negociar.,Média,96.22,41,391.45,bom,RJ,2025-02-18T21:22:17.076795
000009289,Pessoa Física,Chat,1,quero negociar. aguardo uma resposta,Média,129.05,32,280.52,bom,BA,2025-10-01T07:56:57.420192
000003202,Pessoa Física,Email,4,preciso de um desconto.,Média,135.94,67,229.86,ruim,PB,2025-04-13T18:16:39.702106
000004069,Pessoa Física,Email,1,preciso de informação.,Baixa,67.0,19,258.27,bom,SP,2025-09-22T04:25:41.997661
000008965,Pessoa Física,Chat,1,segunda via do boleto.,Baixa,80.3,25,179.59,bom,MG,2025-08-12T21:34:35.817573
000009817,Pessoa Física,Chat,2,preciso de um desconto.,Média,163.74,40,557.02,bom,PE,2024-10-06T16:49:41.578460
000009021,Pessoa Física,Email,1,preciso de um desconto. por favor,Média,198.63,37,530.6,bom,PB,2025-06-22T17:51:46.182989
000009070,Pessoa Física,Telefone,4,como posso pagar. aguardo uma resposta,Baixa,53.83,26,125.78,bom,MG,2025-06-08T11:53:52.143834
000000859,Pessoa Física,Telefone,3,dúvida sobre a fatura. muito obrigado,Baixa,130.33,15,385.48,bom,MG,2025-04-16T15:08:28.956543
000008389,Pessoa Física,Chat,3,como posso pagar.,Baixa,121.92,8,274.95,bom,MA,2025-01-07T23:06:50.077482
000000339,Pessoa Física,Chat,1,preciso de um desconto.,Média,160.46,42,719.22,bom,MG,2025-05-24T14:42:20.263868
000000682,Pessoa Jurídica,Telefone,3,proposta de pagamento.,Média,139.85,31,180.71,regular,ES,2024-11-12T06:01:40.492391
000004890,Pessoa Física,Chat,1,parcelamento da dívida,Média,153.16,37,171.63,regular,PR,2025-03-10T07:14:10.237339
000009082,Pessoa Jurídica,Chat,1,segunda via do boleto,Baixa,28.77,4,75.54,bom,PE,2025-03-17T05:25:17.217572
000009503,Pessoa Física,Telefone,2,parcelamento da dívida.,Média,119.71,9,202.47,ruim,RS,2025-09-15T21:06:35.417378
000008898,Pessoa Física,Telefone,3,como posso pagar. por favor,Baixa,83.75,12,332.9,bom,SP,2025-08-18T09:42:18.014338
000004360,Pessoa Física,Telefone,1,ajuda temporária. o mais rápido possível,Média,84.78,37,204.64,bom,MG,2025-01-06T16:59:36.739843
000002425,Pessoa Física,Telefone,2,renegociar valores.,Média,70.96,45,145.17,regular,RJ,2025-04-03T08:12:21.814794
000004431,Pessoa Física,Telefone,1,ajuda temporária.,Média,129.14,8,314.78,ruim,PA,2024-12-06T18:12:28.229793
000002149,Pessoa Jurídica,Telefone,4,como posso pagar. o mais rápido possível,Baixa,133.34,24,250.4,bom,PI,2025-08-31T20:03:53.792455
000000348,Pessoa Jurídica,Chat,4,dúvida sobre a fatura,Baixa,145.24,3,319.33,regular,RJ,2025-08-16T10:56:42.691437
000006710,Pessoa Física,Chat,3,como posso pagar.,Baixa,103.88,12,339.89,regular,SP,2025-01-19T12:17:01.494320
000006813,Pessoa Física,Chat,3,consulta de valores,Baixa,175.37,15,781.47,regular,RS,2025-05-23T21:03:58.526820
000002205,Pessoa Física,Telefone,2,como posso pagar. por favor,Baixa,82.72,30,205.43,bom,BA,2025-05-12T22:16:30.194219
000002607,Pessoa Física,Chat,2,ajuda temporária.,Média,62.7,45,143.12,regular,SP,2024-11-27T07:56:26.448054
000007602,Pessoa Física,Chat,3,consulta de valores.,Baixa,128.75,10,531.37,bom,AL,2025-07-08T00:10:30.015120
000000889,Pessoa Física,Telefone,1,dúvida sobre a fatura. muito obrigado,Baixa,92.62,16,100.93,bom,DF,2025-04-17T12:15:19.657421
000008157,Pessoa Física,Chat,4,consulta de valores,Baixa,141.27,22,311.97,regular,ES,2025-07-13T21:26:28.228754
000002847,Pessoa Física,Telefone,1,como posso pagar.,Baixa,93.69,9,263.15,regular,MG,2025-04-14T05:08:28.820094
000009774,Pessoa Física,Telefone,3,preciso de um desconto.,Média,96.84,84,329.51,ruim,SP,2024-10-02T17:12:05.175129
000007398,Pessoa Física,Chat,4,quero negociar.,Média,93.59,42,152.01,bom,PE,2025-01-28T21:39:45.113698
000002793,Pessoa Física,Telefone,1,consulta de valores. aguardo uma resposta,Baixa,90.72,8,247.79,bom,MG,2024-10-09T14:55:00.417610
000005984,Pessoa Física,Telefone,2,segunda via do boleto.,Baixa,119.92,15,391.56,bom,RJ,2025-09-06T20:26:37.751428
000007343,Pessoa Física,Chat,1,segunda via do boleto.,Baixa,129.57,7,394.02,bom,CE,2025-08-19T10:51:12.315891
000001200,Pessoa Jurídica,Físico,1,segunda via do boleto. aguardo uma resposta,Baixa,90.65,16,298.98,bom,GO,2025-08-02T06:22:07.550351
000005470,Pessoa Física,Chat,3,como posso pagar.,Baixa,73.17,24,267.04,regular,RS,2025-01-22T19:47:00.071603
000002099,Pessoa Jurídica,Telefone,3,preciso de informação.,Baixa,139.95,3,352.32,bom,MG,2024-10-23T15:56:47.186813
000008435,Pessoa Física,Chat,1,ajuda temporária.,Média,135.52,41,170.02,regular,RS,2025-08-19T04:36:35.127548
000006398,Premium,Telefone,3,consulta de valores. o mais rápido possível,Baixa,148.59,19,181.61,bom,PE,2025-09-13T08:55:11.650615
000006917,Pessoa Física,Telefone,2,quero negociar.,Média,78.27,91,347.12,regular,SP,2024-11-02T19:00:21.374395
000001505,Pessoa Física,Email,3,renegociar valores.,Média,86.93,2,322.48,ruim,PR,2025-03-29T00:15:50.749400
000005691,Pessoa Física,Telefone,1,parcelamento da dívida. o mais rápido possível,Média,152.93,36,620.4,bom,PE,2024-10-27T18:53:19.173202
000004461,Pessoa Física,Chat,4,renegociar valores,Média,155.84,32,734.82,bom,SP,2025-07-07T07:26:39.730051
000009706,Pessoa Física,Chat,2,segunda via do boleto,Baixa,103.64,4,414.79,regular,PR,2025-07-09T05:18:32.905351
000002401,Pessoa Física,Telefone,1,dúvida sobre a fatura. o mais rápido possível,Baixa,81.9,9,308.7,regular,MG,2024-11-18T09:38:13.549872
000005045,Pessoa Física,Chat,1,parcelamento da dívida.,Média,91.94,44,333.1,bom,PB,2025-03-25T02:23:58.531114
000004296,Pessoa Física,Chat,2,como posso pagar.,Baixa,81.38,16,165.55,bom,PR,2025-04-21T07:38:04.851771
000006703,Pessoa Física,Chat,3,renegociar valores. aguardo uma resposta,Média,151.92,12,733.65,ruim,BA,2025-01-07T07:36:40.064511
000002579,Pessoa Física,Chat,4,parcelamento da dívida.,Média,148.52,47,470.54,regular,RJ,2025-08-17T03:43:37.155205
000008477,Pessoa Jurídica,Email,1,segunda via do boleto.,Baixa,123.25,3,232.73,regular,SE,2025-03-06T01:18:50.270503
000000381,Pessoa Jurídica,Chat,4,preciso de informação.,Baixa,92.89,14,170.85,bom,SE,2024-12-18T20:45:38.054410
000006039,Pessoa Física,Chat,3,segunda via do boleto.,Baixa,84.75,22,361.13,regular,MG,2025-04-17T11:31:42.299446
000003155,Pessoa Física,Chat,1,proposta de pagamento.,Média,95.38,20,190.84,ruim,PI,2025-06-26T02:35:20.045470
000001474,Pessoa Jurídica,Chat,2,preciso de informação. por favor,Baixa,84.46,7,98.46,regular,CE,2024-12-14T23:25:49.003508
000003909,Pessoa Física,Telefone,2,dúvida sobre a fatura. o mais rápido possível,Baixa,129.06,18,350.22,bom,MA,2025-01-24T08:37:06.711481
000001591,Pessoa Física,Email,1,parcelamento da dívida. muito obrigado,Média,150.49,26,642.5,ruim,SP,2025-09-30T23:25:43.528718
000000885,Pessoa Física,Redes Sociais,3,como posso pagar.,Baixa,151.76,19,403.34,regular,SP,2025-05-27T20:51:48.297121
000003755,Pessoa Jurídica,Chat,3,como posso pagar.,Baixa,84.63,24,356.65,bom,RS,2025-03-11T12:28:06.689668
000002522,Pessoa Física,Email,3,segunda via do boleto.,Baixa,96.09,7,414.04,regular,SP,2025-04-09T13:08:02.175538
000000213,Pessoa Jurídica,Chat,3,ajuda temporária.,Média,97.87,36,433.65,bom,RN,2024-11-15T16:52:55.463907
000001872,Pessoa Física,Telefone,4,consulta de valores.,Baixa,160.76,13,539.45,regular,AM,2024-12-23T13:49:52.544608
000002191,Pessoa Física,Chat,1,preciso de um desconto,Média,66.63,87,253.05,ruim,SC,2025-02-02T23:45:54.830099
000008208,Premium,Chat,1,consulta de valores,Baixa,119.88,2,245.45,regular,SP,2025-05-05T09:09:40.914853
000002106,Pessoa Física,Redes Sociais,2,dúvida sobre a fatura.,Baixa,85.01,11,118.91,bom,PR,2024-12-25T13:19:07.866261
000005338,Pessoa Física,Chat,4,quero negociar.,Média,112.34,5,351.75,ruim,SP,2024-12-21T22:33:39.863748
000009209,Pessoa Física,Chat,1,renegociar valores.,Média,147.75,17,154.0,ruim,PI,2024-10-28T10:29:48.073012
000006756,Pessoa Jurídica,Telefone,1,preciso de informação.,Baixa,107.07,7,306.54,bom,CE,2025-05-21T00:17:07.411392
000004211,Pessoa Física,Chat,4,segunda via do boleto.,Baixa,89.87,28,126.57,bom,SP,2024-12-25T03:02:13.431098
000008555,Pessoa Física,Chat,1,parcelamento da dívida,Média,149.91,43,214.92,ruim,RS,2025-08-29T04:52:58.319551
000002550,Pessoa Física,Redes Sociais,1,dúvida sobre a fatura.,Baixa,125.2,6,561.29,bom,SP,2025-08-12T11:32:45.382062
000003494,Pessoa Jurídica,Telefone,1,consulta de valores. muito obrigado,Baixa,139.29,5,496.16,bom,SP,2024-10-28T09:18:24.684096
000008976,Pessoa Física,Email,3,parcelamento da dívida. o mais rápido possível,Média,130.59,42,467.63,bom,SP,2024-12-28T10:28:47.413559
000006762,Pessoa Física,Telefone,1,dúvida sobre a fatura.,Baixa,71.41,10,186.94,bom,PB,2025-06-03T20:17:13.139562
000004621,Pessoa Física,Telefone,4,preciso de informação.,Baixa,172.21,13,456.88,bom,RS,2024-12-19T18:08:12.371672
000000770,Pessoa Física,Telefone,4,como posso pagar.,Baixa,112.04,6,247.88,regular,MG,2024-11-19T20:00:08.079888
000000289,Pessoa Física,Email,3,segunda via do boleto.,Baixa,153.7,12,420.74,bom,SP,2025-09-09T04:40:53.914245
000008259,Pessoa Física,Telefone,2,segunda via do boleto. muito obrigado,Baixa,106.0,7,354.94,regular,PR,2025-04-29T01:48:54.140689
000001858,Pessoa Física,Telefone,2,consulta de valores.,Baixa,142.63,23,249.08,bom,RS,2025-03-24T03:30:32.792170
000005346,Pessoa Física,Telefone,4,como posso pagar.,Baixa,160.43,15,328.36,bom,MG,2025-07-16T01:58:26.032815
000003662,Pessoa Física,Chat,3,parcelamento da dívida. por favor,Média,155.3,32,462.64,regular,PR,2025-07-24T10:30:47.579314
000008766,Pessoa Física,Telefone,4,dúvida sobre a fatura. por favor,Baixa,124.22,9,315.41,regular,SP,2024-12-11T01:16:33.399300
000001055,Pessoa Jurídica,Telefone,1,proposta de pagamento.,Média,106.42,15,455.26,ruim,AL,2024-11-06T21:51:38.114884
000002970,Pessoa Jurídica,Telefone,3,preciso de informação.,Baixa,63.67,7,272.94,bom,RJ,2025-03-08T22:40:46.365686
000006774,Premium,Chat,1,parcelamento da dívida,Média,70.49,55,165.23,bom,MS,2025-03-06T05:10:36.781883
000009857,Pessoa Jurídica,Físico,2,consulta de valores. o mais rápido possível,Baixa,164.66,16,461.57,bom,PR,2025-03-22T02:00:52.154721
000004940,Pessoa Jurídica,Chat,4,consulta de valores.,Baixa,87.05,5,427.1,regular,ES,2025-06-25T19:05:32.105380
000006587,Pessoa Jurídica,Redes Sociais,2,como posso pagar.,Baixa,152.17,8,655.84,bom,PE,2025-06-05T10:44:25.250694
000005158,Pessoa Física,Email,1,renegociar valores.,Média,156.57,3,291.63,ruim,ES,2025-09-26T23:08:39.755460
000008632,Pessoa Física,Telefone,2,preciso de um desconto.,Média,138.21,2,293.13,ruim,SP,2024-11-07T10:53:44.777624
000008587,Pessoa Física,Email,2,dúvida sobre a fatura.,Baixa,135.65,16,180.95,bom,RJ,2025-02-26T13:28:11.507283
000001837,Pessoa Física,Telefone,1,proposta de pagamento. o mais rápido possível,Média,73.38,10,272.33,ruim,MG,2025-02-03T10:26:00.742561
000001113,Pessoa Física,Chat,4,renegociar valores. muito obrigado,Média,66.02,66,149.71,bom,MG,2025-08-13T05:24:10.748135
000006504,Pessoa Física,Chat,4,segunda via do boleto.,Baixa,93.65,5,294.66,bom,MS,2025-01-01T07:51:00.284250
000006508,Pessoa Física,Chat,1,ajuda temporária,Média,186.11,32,757.95,regular,BA,2024-12-10T23:30:50.308515
000000577,Pessoa Jurídica,Email,3,segunda via do boleto. por favor,Baixa,174.99,9,760.18,bom,RO,2025-03-15T08:37:37.294993
000006041,Pessoa Física,Telefone,2,como posso pagar.,Baixa,121.49,6,279.6,bom,CE,2025-03-05T14:18:05.531501
000004474,Pessoa Física,Email,3,preciso de um desconto. aguardo uma resposta,Média,171.77,70,334.78,bom,ES,2025-01-12T05:50:53.594337
000006559,Pessoa Física,Telefone,1,proposta de pagamento.,Média,82.6,33,362.96,regular,BA,2025-01-01T17:55:54.126913
000003145,Pessoa Jurídica,Redes Sociais,3,segunda via do boleto.,Baixa,105.22,21,265.69,bom,RJ,2025-09-04T17:18:46.774235
000008384,Pessoa Física,Físico,2,dúvida sobre a fatura.,Baixa,183.49,25,786.8,regular,SP,2025-03-13T08:33:57.935135
000007249,Pessoa Física,Chat,2,parcelamento da dívida.,Média,204.09,94,326.35,bom,CE,2025-08-13T02:34:04.302805
000001177,Pessoa Física,Chat,3,como posso pagar. por favor,Baixa,150.86,19,701.14,regular,RO,2025-04-21T12:12:28.599097
000008051,Pessoa Física,Físico,4,como posso pagar.,Baixa,56.42,4,165.45,bom,SP,2024-10-20T23:38:00.559498
000005658,Pessoa Física,Telefone,2,quero negociar.,Média,173.98,3,292.38,ruim,MA,2025-10-02T11:39:31.045129
000006357,Pessoa Física,Chat,1,renegociar valores.,Média,109.29,23,343.2,ruim,MG,2025-08-03T20:36:19.791085
000000193,Pessoa Física,Telefone,2,quero negociar.,Média,148.9,22,667.08,ruim,AP,2025-09-21T10:10:37.076123
000007120,Pessoa Física,Telefone,1,consulta de valores.,Baixa,123.96,28,317.0,bom,PB,2025-09-05T20:29:56.321904
000003084,Pessoa Física,Telefone,3,segunda via do boleto. por favor,Baixa,160.26,4,274.4,bom,RJ,2025-08-08T11:39:05.235238
000008429,Pessoa Física,Chat,2,quero negociar.,Média,121.87,58,402.93,bom,GO,2024-12-02T06:01:53.811194
000004687,Pessoa Física,Telefone,2,proposta de pagamento. por favor,Média,229.16,17,994.07,ruim,SC,2025-03-28T21:12:06.786591
000008988,Pessoa Física,Chat,3,como posso pagar.,Baixa,158.61,22,235.6,bom,GO,2024-12-19T13:50:45.091542
000000665,Pessoa Física,Telefone,4,segunda via do boleto.,Baixa,69.68,2,81.22,regular,SP,2025-02-25T23:36:40.637346
000000673,Pessoa Física,Chat,3,renegociar valores.,Média,52.86,65,64.76,regular,AM,2024-10-23T22:10:19.837177
